Character,Absolute Frequency,Relative Frequency,Weight
撕,36,0.000248,0.710415
撙,15,0.000103,1.704996
撞,18,0.000124,1.420830
撡,38,0.000261,0.673025
撣,18,0.000124,1.420830
撤,24,0.000165,1.065623
撥,24,0.000165,1.065623
撩,18,0.000124,1.420830
撫,29,0.000199,0.881895
撬,35,0.000241,0.730713
播,34,0.000234,0.752204
撮,34,0.000234,0.752204
撰,22,0.000151,1.162498
撲,26,0.000179,0.983652
撻,30,0.000206,0.852498
撼,38,0.000261,0.673025
撾,20,0.000138,1.278747
撿,27,0.000186,0.947220
擁,35,0.000241,0.730713
擂,29,0.000199,0.881895
擄,19,0.000131,1.346050
擅,23,0.000158,1.111954
擇,24,0.000165,1.065623
擊,24,0.000165,1.065623
擋,28,0.000193,0.913391
操,29,0.000199,0.881895
擎,35,0.000241,0.730713
擒,21,0.000144,1.217855
擔,45,0.000310,0.568332
擘,10,0.000069,2.557495
擠,29,0.000199,0.881895
擢,25,0.000172,1.022998
擦,26,0.000179,0.983652
擧,17,0.000117,1.504409
擯,21,0.000144,1.217855
擰,24,0.000165,1.065623
擲,33,0.000227,0.774998
擴,28,0.000193,0.913391
擷,17,0.000117,1.504409
擺,23,0.000158,1.111954
擻,36,0.000248,0.710415
擾,34,0.000234,0.752204
攀,30,0.000206,0.852498
攏,19,0.000131,1.346050
攔,23,0.000158,1.111954
攘,27,0.000186,0.947220
攙,25,0.000172,1.022998
攝,31,0.000213,0.824998
攢,17,0.000117,1.504409
攣,32,0.000220,0.799217
攤,20,0.000138,1.278747
攪,25,0.000172,1.022998
攫,24,0.000165,1.065623
攬,26,0.000179,0.983652
支,40,0.000275,0.639374
攴,19,0.000131,1.346050
攵,26,0.000179,0.983652
收,28,0.000193,0.913391
攷,33,0.000227,0.774998
攸,26,0.000179,0.983652
改,27,0.000186,0.947220
攻,26,0.000179,0.983652
放,33,0.000227,0.774998
政,36,0.000248,0.710415
故,36,0.000248,0.710415
效,28,0.000193,0.913391
敉,18,0.000124,1.420830
敌,20,0.000138,1.278747
敍,24,0.000165,1.065623
敏,25,0.000172,1.022998
救,44,0.000303,0.581249
敕,23,0.000158,1.111954
敖,23,0.000158,1.111954
敗,30,0.000206,0.852498
敝,22,0.000151,1.162498
敞,20,0.000138,1.278747
敢,25,0.000172,1.022998
散,46,0.000316,0.555977
敦,38,0.000261,0.673025
敬,39,0.000268,0.655768
敲,24,0.000165,1.065623
敵,48,0.000330,0.532811
敷,33,0.000227,0.774998
數,44,0.000303,0.581249
敺,23,0.000158,1.111954
斂,21,0.000144,1.217855
斃,30,0.000206,0.852498
文,34,0.000234,0.752204
斋,21,0.000144,1.217855
斌,20,0.000138,1.278747
斐,12,0.000083,2.131246
斑,26,0.000179,0.983652
斕,20,0.000138,1.278747
斗,32,0.000220,0.799217
料,36,0.000248,0.710415
斛,27,0.000186,0.947220
斜,28,0.000193,0.913391
斟,30,0.000206,0.852498
斡,30,0.000206,0.852498
斤,27,0.000186,0.947220
斥,22,0.000151,1.162498
斧,21,0.000144,1.217855
斫,20,0.000138,1.278747
斬,28,0.000193,0.913391
断,42,0.000289,0.608927
斯,22,0.000151,1.162498
新,44,0.000303,0.581249
斷,32,0.000220,0.799217
方,43,0.000296,0.594766
於,21,0.000144,1.217855
施,35,0.000241,0.730713
旁,32,0.000220,0.799217
旂,46,0.000316,0.555977
旃,14,0.000096,1.826782
旄,11,0.000076,2.324995
旅,42,0.000289,0.608927
旆,17,0.000117,1.504409
旋,29,0.000199,0.881895
旌,17,0.000117,1.504409
旎,18,0.000124,1.420830
族,30,0.000206,0.852498
旒,15,0.000103,1.704996
旖,21,0.000144,1.217855
旗,46,0.000316,0.555977
无,23,0.000158,1.111954
旤,25,0.000172,1.022998
日,41,0.000282,0.623779
旦,31,0.000213,0.824998
旨,25,0.000172,1.022998
早,37,0.000255,0.691215
旬,29,0.000199,0.881895
旭,23,0.000158,1.111954
旱,29,0.000199,0.881895
旹,19,0.000131,1.346050
旺,26,0.000179,0.983652
旾,39,0.000268,0.655768
昀,24,0.000165,1.065623
昂,23,0.000158,1.111954
昃,17,0.000117,1.504409
昆,22,0.000151,1.162498
昊,22,0.000151,1.162498
昌,22,0.000151,1.162498
明,37,0.000255,0.691215
昏,34,0.000234,0.752204
易,40,0.000275,0.639374
昔,31,0.000213,0.824998
昕,30,0.000206,0.852498
星,30,0.000206,0.852498
映,30,0.000206,0.852498
春,40,0.000275,0.639374
昧,22,0.000151,1.162498
昨,38,0.000261,0.673025
昭,39,0.000268,0.655768
是,26,0.000179,0.983652
昱,23,0.000158,1.111954
昴,18,0.000124,1.420830
昵,15,0.000103,1.704996
昶,22,0.000151,1.162498
晁,23,0.000158,1.111954
晃,23,0.000158,1.111954
晉,23,0.000158,1.111954
晋,23,0.000158,1.111954
晌,21,0.000144,1.217855
晏,25,0.000172,1.022998
晒,21,0.000144,1.217855
晗,19,0.000131,1.346050
晚,13,0.000089,1.967304
晝,45,0.000310,0.568332
晟,15,0.000103,1.704996
晤,20,0.000138,1.278747
晦,23,0.000158,1.111954
晨,31,0.000213,0.824998
普,26,0.000179,0.983652
景,33,0.000227,0.774998
晰,31,0.000213,0.824998
晴,34,0.000234,0.752204
晶,32,0.000220,0.799217
晷,19,0.000131,1.346050
智,26,0.000179,0.983652
晻,35,0.000241,0.730713
晾,24,0.000165,1.065623
暄,22,0.000151,1.162498
暇,29,0.000199,0.881895
暈,23,0.000158,1.111954
暉,18,0.000124,1.420830
暑,33,0.000227,0.774998
暖,31,0.000213,0.824998
暗,43,0.000296,0.594766
暝,23,0.000158,1.111954
暢,38,0.000261,0.673025
暨,16,0.000110,1.598434
暫,32,0.000220,0.799217
暮,33,0.000227,0.774998
暴,27,0.000186,0.947220
暹,22,0.000151,1.162498
暾,15,0.000103,1.704996
曄,23,0.000158,1.111954
曇,20,0.000138,1.278747
曉,28,0.000193,0.913391
曖,19,0.000131,1.346050
曙,29,0.000199,0.881895
曜,32,0.000220,0.799217
曝,22,0.000151,1.162498
曠,25,0.000172,1.022998
曦,27,0.000186,0.947220
曩,22,0.000151,1.162498
曰,35,0.000241,0.730713
曲,26,0.000179,0.983652
曳,26,0.000179,0.983652
更,25,0.000172,1.022998
曷,21,0.000144,1.217855
書,44,0.000303,0.581249
曹,22,0.000151,1.162498
曼,32,0.000220,0.799217
曾,34,0.000234,0.752204
替,19,0.000131,1.346050
最,37,0.000255,0.691215
會,38,0.000261,0.673025
月,38,0.000261,0.673025
有,36,0.000248,0.710415
朋,24,0.000165,1.065623
服,31,0.000213,0.824998
朔,26,0.000179,0.983652
朕,20,0.000138,1.278747
朗,31,0.000213,0.824998
望,27,0.000186,0.947220
朝,37,0.000255,0.691215
朞,31,0.000213,0.824998
期,25,0.000172,1.022998
朦,26,0.000179,0.983652
朧,20,0.000138,1.278747
木,26,0.000179,0.983652
未,43,0.000296,0.594766
末,47,0.000323,0.544148
本,40,0.000275,0.639374
札,35,0.000241,0.730713
朱,34,0.000234,0.752204
朴,24,0.000165,1.065623
朵,30,0.000206,0.852498
机,37,0.000255,0.691215
朽,19,0.000131,1.346050
杆,34,0.000234,0.752204
杉,29,0.000199,0.881895
李,23,0.000158,1.111954
杏,26,0.000179,0.983652
材,33,0.000227,0.774998
村,44,0.000303,0.581249
杓,20,0.000138,1.278747
杖,35,0.000241,0.730713
杜,32,0.000220,0.799217
杞,18,0.000124,1.420830
束,46,0.000316,0.555977
杠,25,0.000172,1.022998
杪,25,0.000172,1.022998
杭,34,0.000234,0.752204
杯,26,0.000179,0.983652
杰,27,0.000186,0.947220
東,37,0.000255,0.691215
杲,29,0.000199,0.881895
杳,20,0.000138,1.278747
杵,24,0.000165,1.065623
杷,22,0.000151,1.162498
杼,20,0.000138,1.278747
松,31,0.000213,0.824998
板,34,0.000234,0.752204
极,19,0.000131,1.346050
构,19,0.000131,1.346050
枇,17,0.000117,1.504409
枉,30,0.000206,0.852498
枋,29,0.000199,0.881895
枏,24,0.000165,1.065623
析,32,0.000220,0.799217
枕,21,0.000144,1.217855
林,32,0.000220,0.799217
枚,41,0.000282,0.623779
果,32,0.000220,0.799217
枝,38,0.000261,0.673025
枯,29,0.000199,0.881895
枰,19,0.000131,1.346050
枳,15,0.000103,1.704996
架,37,0.000255,0.691215
枷,11,0.000076,2.324995
枸,20,0.000138,1.278747
柁,17,0.000117,1.504409
柄,29,0.000199,0.881895
柏,32,0.000220,0.799217
柑,27,0.000186,0.947220
柒,31,0.000213,0.824998
染,39,0.000268,0.655768
柔,22,0.000151,1.162498
柘,17,0.000117,1.504409
柙,19,0.000131,1.346050
柚,29,0.000199,0.881895
柜,23,0.000158,1.111954
柝,18,0.000124,1.420830
柞,29,0.000199,0.881895
柠,22,0.000151,1.162498
柢,25,0.000172,1.022998
查,24,0.000165,1.065623
柩,22,0.000151,1.162498
柬,17,0.000117,1.504409
柯,25,0.000172,1.022998
柱,38,0.000261,0.673025
柳,30,0.000206,0.852498
柴,30,0.000206,0.852498
柵,26,0.000179,0.983652
柿,29,0.000199,0.881895
栓,22,0.000151,1.162498
栗,30,0.000206,0.852498
校,40,0.000275,0.639374
栩,20,0.000138,1.278747
株,37,0.000255,0.691215
栰,33,0.000227,0.774998
栲,19,0.000131,1.346050
样,16,0.000110,1.598434
核,35,0.000241,0.730713
根,47,0.000323,0.544148
格,28,0.000193,0.913391
栽,20,0.000138,1.278747
桀,27,0.000186,0.947220
桁,24,0.000165,1.065623
桂,32,0.000220,0.799217
桃,20,0.000138,1.278747
桄,24,0.000165,1.065623
桅,21,0.000144,1.217855
框,21,0.000144,1.217855
案,35,0.000241,0.730713
桌,26,0.000179,0.983652
桎,11,0.000076,2.324995
桐,33,0.000227,0.774998
桑,37,0.000255,0.691215
桓,23,0.000158,1.111954
桔,25,0.000172,1.022998
桴,14,0.000096,1.826782
桶,32,0.000220,0.799217
桷,16,0.000110,1.598434
梁,24,0.000165,1.065623
梃,18,0.000124,1.420830
梅,33,0.000227,0.774998
梆,25,0.000172,1.022998
梏,19,0.000131,1.346050
梓,17,0.000117,1.504409
梔,19,0.000131,1.346050
梗,29,0.000199,0.881895
條,30,0.000206,0.852498
梟,19,0.000131,1.346050
梢,30,0.000206,0.852498
梦,28,0.000193,0.913391
梧,36,0.000248,0.710415
梨,25,0.000172,1.022998
梭,21,0.000144,1.217855
梯,17,0.000117,1.504409
械,30,0.000206,0.852498
梳,19,0.000131,1.346050
梵,15,0.000103,1.704996
棄,29,0.000199,0.881895
棉,27,0.000186,0.947220
棊,34,0.000234,0.752204
棋,30,0.000206,0.852498
棍,29,0.000199,0.881895
棒,43,0.000296,0.594766
棕,24,0.000165,1.065623
棗,23,0.000158,1.111954
棘,25,0.000172,1.022998
棚,29,0.000199,0.881895
棟,32,0.000220,0.799217
棠,31,0.000213,0.824998
棣,18,0.000124,1.420830
棧,23,0.000158,1.111954
森,38,0.000261,0.673025
棱,19,0.000131,1.346050
棲,30,0.000206,0.852498
棵,25,0.000172,1.022998
棹,19,0.000131,1.346050
棺,21,0.000144,1.217855
椁,17,0.000117,1.504409
椅,31,0.000213,0.824998
椋,21,0.000144,1.217855
植,26,0.000179,0.983652
椎,26,0.000179,0.983652
椏,13,0.000089,1.967304
椒,29,0.000199,0.881895
椰,35,0.000241,0.730713
椴,15,0.000103,1.704996
椷,18,0.000124,1.420830
椹,5,0.000034,5.114989
椽,15,0.000103,1.704996
椾,14,0.000096,1.826782
椿,11,0.000076,2.324995
楊,37,0.000255,0.691215
楓,33,0.000227,0.774998
楔,28,0.000193,0.913391
楚,17,0.000117,1.504409
楝,22,0.000151,1.162498
楞,37,0.000255,0.691215
楠,21,0.000144,1.217855
楣,17,0.000117,1.504409
楨,26,0.000179,0.983652
楫,12,0.000083,2.131246
業,38,0.000261,0.673025
楮,17,0.000117,1.504409
極,40,0.000275,0.639374
楷,27,0.000186,0.947220
楸,22,0.000151,1.162498
楹,22,0.000151,1.162498
榆,25,0.000172,1.022998
榔,22,0.000151,1.162498
榕,23,0.000158,1.111954
榘,29,0.000199,0.881895
榛,18,0.000124,1.420830
榜,28,0.000193,0.913391
榧,16,0.000110,1.598434
榨,17,0.000117,1.504409
榫,18,0.000124,1.420830
榭,10,0.000069,2.557495
榮,30,0.000206,0.852498
榱,10,0.000069,2.557495
榴,23,0.000158,1.111954
榷,26,0.000179,0.983652
榻,19,0.000131,1.346050
榿,21,0.000144,1.217855
槀,16,0.000110,1.598434
槁,19,0.000131,1.346050
槊,13,0.000089,1.967304
槌,24,0.000165,1.065623
槍,40,0.000275,0.639374
槎,15,0.000103,1.704996
槐,30,0.000206,0.852498
槧,20,0.000138,1.278747
槨,19,0.000131,1.346050
槭,21,0.000144,1.217855
槲,14,0.000096,1.826782
槳,27,0.000186,0.947220
槼,18,0.000124,1.420830
槽,26,0.000179,0.983652
槿,14,0.000096,1.826782
樁,25,0.000172,1.022998
樂,31,0.000213,0.824998
樅,23,0.000158,1.111954
樊,23,0.000158,1.111954
樓,28,0.000193,0.913391
樗,13,0.000089,1.967304
標,43,0.000296,0.594766
樞,26,0.000179,0.983652
樟,25,0.000172,1.022998
模,49,0.000337,0.521938
樣,30,0.000206,0.852498
樵,19,0.000131,1.346050
樹,32,0.000220,0.799217
樺,18,0.000124,1.420830
樽,35,0.000241,0.730713
橄,19,0.000131,1.346050
橇,34,0.000234,0.752204
橈,24,0.000165,1.065623
橋,34,0.000234,0.752204
橘,34,0.000234,0.752204
橙,26,0.000179,0.983652
機,33,0.000227,0.774998
橡,24,0.000165,1.065623
橢,27,0.000186,0.947220
橤,21,0.000144,1.217855
橫,44,0.000303,0.581249
檀,25,0.000172,1.022998
檄,31,0.000213,0.824998
檎,13,0.000089,1.967304
檐,21,0.000144,1.217855
檔,26,0.000179,0.983652
檗,11,0.000076,2.324995
檜,19,0.000131,1.346050
檠,19,0.000131,1.346050
檢,28,0.000193,0.913391
檣,18,0.000124,1.420830
檬,27,0.000186,0.947220
檳,17,0.000117,1.504409
檸,24,0.000165,1.065623
檻,31,0.000213,0.824998
櫚,21,0.000144,1.217855
櫛,22,0.000151,1.162498
櫝,19,0.000131,1.346050
櫞,11,0.000076,2.324995
櫟,15,0.000103,1.704996
櫨,12,0.000083,2.131246
櫪,17,0.000117,1.504409
櫬,17,0.000117,1.504409
櫱,18,0.000124,1.420830
櫺,20,0.000138,1.278747
櫻,31,0.000213,0.824998
欄,21,0.000144,1.217855
權,23,0.000158,1.111954
欒,18,0.000124,1.420830
欖,17,0.000117,1.504409
欝,32,0.000220,0.799217
欠,33,0.000227,0.774998
次,32,0.000220,0.799217
欣,21,0.000144,1.217855
欲,27,0.000186,0.947220
欷,21,0.000144,1.217855
欹,13,0.000089,1.967304
欺,33,0.000227,0.774998
欽,30,0.000206,0.852498
款,31,0.000213,0.824998
歃,12,0.000083,2.131246
歇,24,0.000165,1.065623
歉,20,0.000138,1.278747
歌,35,0.000241,0.730713
歐,34,0.000234,0.752204
歙,22,0.000151,1.162498
歟,23,0.000158,1.111954
止,37,0.000255,0.691215
正,35,0.000241,0.730713
此,30,0.000206,0.852498
步,32,0.000220,0.799217
武,42,0.000289,0.608927
歧,25,0.000172,1.022998
歪,25,0.000172,1.022998
歸,24,0.000165,1.065623
歹,29,0.000199,0.881895
死,36,0.000248,0.710415
歿,24,0.000165,1.065623
殃,29,0.000199,0.881895
殄,10,0.000069,2.557495
殆,35,0.000241,0.730713
殉,31,0.000213,0.824998
殊,27,0.000186,0.947220
殍,21,0.000144,1.217855
殖,31,0.000213,0.824998
殘,38,0.000261,0.673025
殞,8,0.000055,3.196868
殤,27,0.000186,0.947220
殪,14,0.000096,1.826782
殫,9,0.000062,2.841661
殮,20,0.000138,1.278747
殯,29,0.000199,0.881895
殲,31,0.000213,0.824998
殳,11,0.000076,2.324995
段,34,0.000234,0.752204
殷,26,0.000179,0.983652
殺,32,0.000220,0.799217
殼,29,0.000199,0.881895
殽,32,0.000220,0.799217
殿,27,0.000186,0.947220
毀,31,0.000213,0.824998
毅,28,0.000193,0.913391
毆,28,0.000193,0.913391
毋,30,0.000206,0.852498
母,30,0.000206,0.852498
每,25,0.000172,1.022998
毒,40,0.000275,0.639374
毓,24,0.000165,1.065623
比,35,0.000241,0.730713
毖,15,0.000103,1.704996
毗,26,0.000179,0.983652
毛,38,0.000261,0.673025
毡,13,0.000089,1.967304
毫,16,0.000110,1.598434
毯,27,0.000186,0.947220
毳,16,0.000110,1.598434
毽,12,0.000083,2.131246
氅,17,0.000117,1.504409
氈,32,0.000220,0.799217
氏,39,0.000268,0.655768
氐,13,0.000089,1.967304
民,36,0.000248,0.710415
氓,29,0.000199,0.881895
气,38,0.000261,0.673025
氛,25,0.000172,1.022998
氣,24,0.000165,1.065623
氤,21,0.000144,1.217855
氳,23,0.000158,1.111954
水,32,0.000220,0.799217
永,35,0.000241,0.730713
氾,33,0.000227,0.774998
汀,20,0.000138,1.278747
汁,23,0.000158,1.111954
求,35,0.000241,0.730713
汐,30,0.000206,0.852498
汕,24,0.000165,1.065623
汗,25,0.000172,1.022998
汚,27,0.000186,0.947220
汛,25,0.000172,1.022998
汜,14,0.000096,1.826782
汝,28,0.000193,0.913391
汞,25,0.000172,1.022998
江,23,0.000158,1.111954
池,39,0.000268,0.655768
汨,22,0.000151,1.162498
汪,27,0.000186,0.947220
汰,31,0.000213,0.824998
汲,25,0.000172,1.022998
汴,15,0.000103,1.704996
汶,22,0.000151,1.162498
汹,23,0.000158,1.111954
決,31,0.000213,0.824998
汽,46,0.000316,0.555977
汾,29,0.000199,0.881895
沁,22,0.000151,1.162498
沂,23,0.000158,1.111954
沃,21,0.000144,1.217855
沅,20,0.000138,1.278747
沆,22,0.000151,1.162498
沈,27,0.000186,0.947220
沉,21,0.000144,1.217855
沌,23,0.000158,1.111954
沏,21,0.000144,1.217855
沐,24,0.000165,1.065623
沒,21,0.000144,1.217855
沓,18,0.000124,1.420830
沔,15,0.000103,1.704996
沖,23,0.000158,1.111954
沙,29,0.000199,0.881895
沛,22,0.000151,1.162498
沟,27,0.000186,0.947220
沫,41,0.000282,0.623779
沮,29,0.000199,0.881895
沱,22,0.000151,1.162498
河,32,0.000220,0.799217
沸,34,0.000234,0.752204
油,34,0.000234,0.752204
治,35,0.000241,0.730713
沼,23,0.000158,1.111954
沽,16,0.000110,1.598434
沾,27,0.000186,0.947220
沿,37,0.000255,0.691215
況,29,0.000199,0.881895
泄,26,0.000179,0.983652
泅,30,0.000206,0.852498
泉,31,0.000213,0.824998
泊,24,0.000165,1.065623
泌,20,0.000138,1.278747
泓,16,0.000110,1.598434
法,34,0.000234,0.752204
泖,15,0.000103,1.704996
泗,24,0.000165,1.065623
泛,26,0.000179,0.983652
泞,27,0.000186,0.947220
泠,16,0.000110,1.598434
泡,36,0.000248,0.710415
波,44,0.000303,0.581249
泣,33,0.000227,0.774998
泥,21,0.000144,1.217855
注,34,0.000234,0.752204
泪,26,0.000179,0.983652
泯,26,0.000179,0.983652
泰,24,0.000165,1.065623
泱,20,0.000138,1.278747
泳,30,0.000206,0.852498
泵,25,0.000172,1.022998
洁,20,0.000138,1.278747
洄,11,0.000076,2.324995
洋,31,0.000213,0.824998
洌,34,0.000234,0.752204
洎,16,0.000110,1.598434
洒,17,0.000117,1.504409
洗,32,0.000220,0.799217
洙,17,0.000117,1.504409
洛,29,0.000199,0.881895
洞,25,0.000172,1.022998
津,26,0.000179,0.983652
洧,19,0.000131,1.346050
洪,32,0.000220,0.799217
洫,17,0.000117,1.504409
洮,21,0.000144,1.217855
洱,30,0.000206,0.852498
洲,25,0.000172,1.022998
洳,18,0.000124,1.420830
洵,14,0.000096,1.826782
洶,21,0.000144,1.217855
洹,17,0.000117,1.504409
活,28,0.000193,0.913391
洼,21,0.000144,1.217855
洽,29,0.000199,0.881895
派,36,0.000248,0.710415
流,39,0.000268,0.655768
浙,25,0.000172,1.022998
浚,31,0.000213,0.824998
浜,21,0.000144,1.217855
浣,21,0.000144,1.217855
浦,31,0.000213,0.824998
浩,23,0.000158,1.111954
浪,24,0.000165,1.065623
浮,29,0.000199,0.881895
浯,24,0.000165,1.065623
浴,39,0.000268,0.655768
海,26,0.000179,0.983652
浸,34,0.000234,0.752204
浹,26,0.000179,0.983652
涂,20,0.000138,1.278747
涅,32,0.000220,0.799217
涇,19,0.000131,1.346050
消,45,0.000310,0.568332
涉,21,0.000144,1.217855
涌,23,0.000158,1.111954
涎,40,0.000275,0.639374
涓,21,0.000144,1.217855
涔,15,0.000103,1.704996
涕,33,0.000227,0.774998
涖,28,0.000193,0.913391
涪,28,0.000193,0.913391
涮,25,0.000172,1.022998
涯,29,0.000199,0.881895
液,43,0.000296,0.594766
涵,36,0.000248,0.710415
涸,31,0.000213,0.824998
涼,29,0.000199,0.881895
涿,13,0.000089,1.967304
淀,20,0.000138,1.278747
淄,27,0.000186,0.947220
淅,19,0.000131,1.346050
淆,32,0.000220,0.799217
淇,22,0.000151,1.162498
淋,20,0.000138,1.278747
淌,33,0.000227,0.774998
淑,26,0.000179,0.983652
淖,23,0.000158,1.111954
淘,32,0.000220,0.799217
淙,15,0.000103,1.704996
淚,28,0.000193,0.913391
淞,19,0.000131,1.346050
淡,32,0.000220,0.799217
淤,32,0.000220,0.799217
淦,13,0.000089,1.967304
淪,18,0.000124,1.420830
淫,27,0.000186,0.947220
淬,32,0.000220,0.799217
淮,27,0.000186,0.947220
深,37,0.000255,0.691215
淳,34,0.000234,0.752204
淵,27,0.000186,0.947220
混,37,0.000255,0.691215
淹,36,0.000248,0.710415
淺,40,0.000275,0.639374
添,29,0.000199,0.881895
淼,13,0.000089,1.967304
渙,25,0.000172,1.022998
渚,20,0.000138,1.278747
減,38,0.000261,0.673025
渝,26,0.000179,0.983652
渠,32,0.000220,0.799217
渡,24,0.000165,1.065623
渣,17,0.000117,1.504409
渤,24,0.000165,1.065623
渥,23,0.000158,1.111954
渦,38,0.000261,0.673025
温,32,0.000220,0.799217
渫,16,0.000110,1.598434
測,31,0.000213,0.824998
渭,31,0.000213,0.824998
港,35,0.000241,0.730713
渲,18,0.000124,1.420830
渴,31,0.000213,0.824998
游,27,0.000186,0.947220
渺,30,0.000206,0.852498
渾,28,0.000193,0.913391
湃,30,0.000206,0.852498
湄,11,0.000076,2.324995
湊,35,0.000241,0.730713
湍,28,0.000193,0.913391
湎,17,0.000117,1.504409
湔,20,0.000138,1.278747
湖,27,0.000186,0.947220
湘,21,0.000144,1.217855
湛,23,0.000158,1.111954
湟,18,0.000124,1.420830
湫,21,0.000144,1.217855
湮,20,0.000138,1.278747
湯,42,0.000289,0.608927
溏,21,0.000144,1.217855
源,44,0.000303,0.581249
溘,21,0.000144,1.217855
溜,18,0.000124,1.420830
溝,36,0.000248,0.710415
溟,13,0.000089,1.967304
溢,26,0.000179,0.983652
溥,30,0.000206,0.852498
溧,25,0.000172,1.022998
溪,20,0.000138,1.278747
溫,33,0.000227,0.774998
溯,40,0.000275,0.639374
溲,14,0.000096,1.826782
溴,22,0.000151,1.162498
溶,35,0.000241,0.730713
溷,11,0.000076,2.324995
溺,24,0.000165,1.065623
溼,19,0.000131,1.346050
溽,9,0.000062,2.841661
滁,17,0.000117,1.504409
滂,28,0.000193,0.913391
滄,31,0.000213,0.824998
滅,25,0.000172,1.022998
滇,19,0.000131,1.346050
滋,31,0.000213,0.824998
滌,29,0.000199,0.881895
滑,24,0.000165,1.065623
滓,24,0.000165,1.065623
滔,30,0.000206,0.852498
滕,26,0.000179,0.983652
滬,20,0.000138,1.278747
滯,26,0.000179,0.983652
滲,22,0.000151,1.162498
滴,37,0.000255,0.691215
滷,37,0.000255,0.691215
滸,14,0.000096,1.826782
滾,34,0.000234,0.752204
滿,23,0.000158,1.111954
漁,40,0.000275,0.639374
漂,23,0.000158,1.111954
漆,17,0.000117,1.504409
漉,12,0.000083,2.131246
漏,23,0.000158,1.111954
漓,23,0.000158,1.111954
演,34,0.000234,0.752204
漕,24,0.000165,1.065623
漚,21,0.000144,1.217855
漠,24,0.000165,1.065623
漢,26,0.000179,0.983652
漣,23,0.000158,1.111954
漩,11,0.000076,2.324995
漪,23,0.000158,1.111954
漫,33,0.000227,0.774998
漬,26,0.000179,0.983652
漯,22,0.000151,1.162498
漱,30,0.000206,0.852498
漲,24,0.000165,1.065623
漳,31,0.000213,0.824998
漸,20,0.000138,1.278747
漾,29,0.000199,0.881895
漿,31,0.000213,0.824998
潁,19,0.000131,1.346050
潑,16,0.000110,1.598434
潔,33,0.000227,0.774998
潘,24,0.000165,1.065623
潛,30,0.000206,0.852498
潜,27,0.000186,0.947220
潞,16,0.000110,1.598434
潤,27,0.000186,0.947220
潦,26,0.000179,0.983652
潭,28,0.000193,0.913391
潮,35,0.000241,0.730713
潯,13,0.000089,1.967304
潰,21,0.000144,1.217855
潸,9,0.000062,2.841661
潺,19,0.000131,1.346050
潼,25,0.000172,1.022998
澀,34,0.000234,0.752204
澂,30,0.000206,0.852498
澄,26,0.000179,0.983652
澆,27,0.000186,0.947220
澇,16,0.000110,1.598434
澈,22,0.000151,1.162498
澎,33,0.000227,0.774998
澠,17,0.000117,1.504409
澡,23,0.000158,1.111954
澤,20,0.000138,1.278747
澧,17,0.000117,1.504409
澳,30,0.000206,0.852498
澶,16,0.000110,1.598434
澹,20,0.000138,1.278747
激,29,0.000199,0.881895
濁,29,0.000199,0.881895
濂,23,0.000158,1.111954
濃,23,0.000158,1.111954
濘,25,0.000172,1.022998
濛,28,0.000193,0.913391
濟,37,0.000255,0.691215
濠,23,0.000158,1.111954
濡,21,0.000144,1.217855
濤,23,0.000158,1.111954
濫,31,0.000213,0.824998
濮,24,0.000165,1.065623
濯,24,0.000165,1.065623
濰,25,0.000172,1.022998
濱,32,0.000220,0.799217
濺,33,0.000227,0.774998
濾,34,0.000234,0.752204
瀅,16,0.000110,1.598434
瀆,19,0.000131,1.346050
瀉,16,0.000110,1.598434
瀏,21,0.000144,1.217855
瀑,29,0.000199,0.881895
瀕,19,0.000131,1.346050
瀘,16,0.000110,1.598434
瀚,21,0.000144,1.217855
瀛,26,0.000179,0.983652
瀝,27,0.000186,0.947220
瀟,23,0.000158,1.111954
瀦,17,0.000117,1.504409
瀧,14,0.000096,1.826782
瀨,23,0.000158,1.111954
瀲,18,0.000124,1.420830
瀾,35,0.000241,0.730713
灌,28,0.000193,0.913391
灑,31,0.000213,0.824998
灘,21,0.000144,1.217855
灞,19,0.000131,1.346050
灣,30,0.000206,0.852498
灤,32,0.000220,0.799217
灨,22,0.000151,1.162498
火,47,0.000323,0.544148
灯,37,0.000255,0.691215
灰,37,0.000255,0.691215
灵,28,0.000193,0.913391
灶,24,0.000165,1.065623
灸,22,0.000151,1.162498
灼,26,0.000179,0.983652
災,38,0.000261,0.673025
灾,24,0.000165,1.065623
炅,11,0.000076,2.324995
炉,28,0.000193,0.913391
炊,32,0.000220,0.799217
炎,23,0.000158,1.111954
炒,28,0.000193,0.913391
炔,20,0.000138,1.278747
炕,20,0.000138,1.278747
炖,11,0.000076,2.324995
炙,21,0.000144,1.217855
炫,22,0.000151,1.162498
炬,18,0.000124,1.420830
炭,32,0.000220,0.799217
炮,27,0.000186,0.947220
炯,29,0.000199,0.881895
炳,30,0.000206,0.852498
烈,22,0.000151,1.162498
烊,9,0.000062,2.841661
烏,24,0.000165,1.065623
烘,30,0.000206,0.852498
烙,26,0.000179,0.983652
烛,15,0.000103,1.704996
烟,28,0.000193,0.913391
烯,22,0.000151,1.162498
烴,15,0.000103,1.704996
烷,17,0.000117,1.504409
烹,32,0.000220,0.799217
烽,38,0.000261,0.673025
焉,26,0.000179,0.983652
焊,23,0.000158,1.111954
焙,35,0.000241,0.730713
焚,28,0.000193,0.913391
無,33,0.000227,0.774998
